,date,team1Name,team2Name,venue,referee,result,day,month,season,avgLast5ScoresTeam1,avgLast5ScoresAgainstTeam1,avgLast5ScoresTeam2,avgLast5ScoresAgainstTeam2,avgLast5BpsTeam1,avgLast5BpsAgainstTeam1,avgLast5BpsTeam2,avgLast5BpsAgainstTeam2,avgLast5TriesTeam1,avgLast5ConversionsTeam1,avgLast5PenaltiesTeam1,avgLast5DropGoalsTeam1,avgLast5TriesAgainstTeam1,avgLast5ConversionsAgainstTeam1,avgLast5PenaltiesAgainstTeam1,avgLast5DropGoalsAgainstTeam1,avgLast5TriesTeam2,avgLast5ConversionsTeam2,avgLast5PenaltiesTeam2,avgLast5DropGoalsTeam2,avgLast5TriesAgainstTeam2,avgLast5ConversionsAgainstTeam2,avgLast5PenaltiesAgainstTeam2,avgLast5DropGoalsAgainstTeam2,targetCode,wonLastGameTeam1,wonLastGameTeam2
71,2014-10-12,Bath,Wasps,Adams Park,JP Doyle,L,Sun,Oct,2014-15,34.4,17.6,24.0,23.8,0.6,0.4,0.6,0.4,3.8,3.2,2.8,0.2,2.2,1.8,1.0,0.0,2.8,2.0,2.0,0.0,2.4,2.0,2.2,0.4,0,1.0,0
70,2014-10-12,Wasps,Bath,Adams Park,JP Doyle,W,Sun,Oct,2014-15,24.0,23.8,34.4,17.6,0.6,0.4,0.6,0.4,2.8,2.0,2.0,0.0,2.4,2.0,2.2,0.4,3.8,3.2,2.8,0.2,2.2,1.8,1.0,0.0,1,0.0,1
72,2014-11-14,Gloucester,Harlequins,Kingsholm,Andrew Small,L,Fri,Nov,2014-15,31.2,21.2,21.4,24.0,0.6,0.4,0.4,0.2,3.4,2.6,3.0,0.0,2.0,1.4,2.8,0.0,2.2,2.2,1.8,0.2,2.0,1.6,3.6,0.0,0,0.0,0
75,2014-11-14,Exeter,Northampton,Franklin's Gardens,Dean Richards,W,Fri,Nov,2014-15,29.8,22.4,28.8,15.2,0.6,0.2,0.8,0.4,2.8,2.2,3.8,0.0,2.4,1.6,2.4,0.0,3.2,2.8,2.4,0.0,1.4,1.4,1.8,0.0,1,1.0,1
74,2014-11-14,Northampton,Exeter,Franklin's Gardens,Dean Richards,L,Fri,Nov,2014-15,28.8,15.2,29.8,22.4,0.8,0.4,0.6,0.2,3.2,2.8,2.4,0.0,1.4,1.4,1.8,0.0,2.8,2.2,3.8,0.0,2.4,1.6,2.4,0.0,0,1.0,1
73,2014-11-14,Harlequins,Gloucester,Kingsholm,Andrew Small,W,Fri,Nov,2014-15,21.4,24.0,31.2,21.2,0.4,0.2,0.6,0.4,2.2,2.2,1.8,0.2,2.0,1.6,3.6,0.0,3.4,2.6,3.0,0.0,2.0,1.4,2.8,0.0,1,0.0,0
77,2014-11-15,London Irish,Sale,AJ Bell Stadium,Matthew Carley,L,Sat,Nov,2014-15,22.0,27.2,25.4,27.8,0.6,0.6,0.6,0.4,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,0,0.0,0
76,2014-11-15,Sale,London Irish,AJ Bell Stadium,Matthew Carley,W,Sat,Nov,2014-15,25.4,27.8,22.0,27.2,0.6,0.4,0.6,0.6,3.4,2.4,1.0,0.2,3.2,2.6,2.2,0.0,2.0,1.8,2.8,0.0,2.6,2.0,3.4,0.0,1,0.0,0
79,2014-11-15,Newcastle,Bath,The Recreation Ground,Ian Tempest,L,Sat,Nov,2014-15,19.6,23.4,33.0,19.4,0.2,0.6,0.8,0.4,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,0,1.0,0
78,2014-11-15,Bath,Newcastle,The Recreation Ground,Ian Tempest,W,Sat,Nov,2014-15,33.0,19.4,19.6,23.4,0.8,0.4,0.2,0.6,4.0,3.2,2.0,0.2,2.2,1.8,1.6,0.0,2.4,0.8,2.0,0.0,2.6,1.6,2.4,0.0,1,0.0,1
81,2014-11-16,Saracens,Leicester,Welford Road,Tim Wigglesworth,D,Sun,Nov,2014-15,30.8,18.6,16.2,27.2,0.2,0.6,0.2,0.6,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,0,1.0,1
82,2014-11-16,Wasps,London Welsh,Adams Park,Thomas Foley,W,Sun,Nov,2014-15,24.2,21.4,9.4,44.0,0.4,0.4,0.2,0.8,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,1,1.0,0
83,2014-11-16,London Welsh,Wasps,Adams Park,Thomas Foley,L,Sun,Nov,2014-15,9.4,44.0,24.2,21.4,0.2,0.8,0.4,0.4,1.2,0.8,0.6,0.0,5.8,4.8,1.8,0.0,2.6,2.0,2.4,0.0,2.2,1.6,2.0,0.4,0,0.0,1
80,2014-11-16,Leicester,Saracens,Welford Road,Tim Wigglesworth,D,Sun,Nov,2014-15,16.2,27.2,30.8,18.6,0.2,0.6,0.2,0.6,1.0,0.8,3.2,0.0,2.4,2.2,3.4,0.2,2.8,2.4,4.0,0.0,2.2,1.4,1.6,0.0,0,1.0,1
87,2014-11-21,Gloucester,Newcastle,Kingston Park,Tim Wigglesworth,L,Fri,Nov,2014-15,27.4,20.2,18.8,24.0,0.8,0.0,0.0,0.6,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,0,0.0,0
86,2014-11-21,Newcastle,Gloucester,Kingston Park,Tim Wigglesworth,W,Fri,Nov,2014-15,18.8,24.0,27.4,20.2,0.0,0.6,0.8,0.0,2.2,1.2,1.8,0.0,2.6,1.6,2.4,0.2,2.8,2.2,3.0,0.0,1.8,1.4,2.8,0.0,1,0.0,0
84,2014-11-21,Harlequins,Sale,Twickenham Stoop,Thomas Foley,L,Fri,Nov,2014-15,25.8,19.2,27.2,22.6,0.4,0.4,0.4,0.4,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,0,1.0,1
85,2014-11-21,Sale,Harlequins,Twickenham Stoop,Thomas Foley,W,Fri,Nov,2014-15,27.2,22.6,25.8,19.2,0.4,0.4,0.4,0.4,3.6,2.8,1.0,0.2,2.8,2.2,1.4,0.0,2.8,2.6,2.0,0.2,1.4,1.0,3.4,0.0,1,1.0,1
89,2014-11-22,Wasps,Exeter,Sandy Park,Ian Tempest,L,Sat,Nov,2014-15,34.4,19.6,30.6,21.2,0.6,0.2,0.4,0.4,4.4,3.2,2.0,0.0,2.2,1.6,1.4,0.4,3.0,2.4,3.6,0.0,2.4,1.6,2.0,0.0,0,1.0,1
88,2014-11-22,Exeter,Wasps,Sandy Park,Ian Tempest,W,Sat,Nov,2014-15,30.6,21.2,34.4,19.6,0.4,0.4,0.6,0.2,3.0,2.4,3.6,0.0,2.4,1.6,2.0,0.0,4.4,3.2,2.0,0.0,2.2,1.6,1.4,0.4,1,1.0,1
90,2014-11-22,London Irish,Bath,Madejski Stadium,Andrew Small,L,Sat,Nov,2014-15,19.6,30.8,27.0,17.0,0.6,0.6,0.6,0.2,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,0,0.0,1
91,2014-11-22,Bath,London Irish,Madejski Stadium,Andrew Small,W,Sat,Nov,2014-15,27.0,17.0,19.6,30.8,0.6,0.2,0.6,0.6,3.0,2.4,2.0,0.4,1.8,1.6,1.6,0.0,1.8,1.4,2.6,0.0,3.0,2.8,3.4,0.0,1,1.0,0
92,2014-11-23,Saracens,Northampton,Allianz Park,Matthew Carley,L,Sun,Nov,2014-15,27.2,22.8,29.2,16.0,0.2,0.6,0.8,0.4,2.2,1.8,4.2,0.0,2.2,1.4,3.0,0.0,3.4,2.8,2.2,0.0,1.6,1.6,1.6,0.0,0,0.0,0
94,2014-11-23,London Welsh,Leicester,Kassam Stadium,Dean Richards,L,Sun,Nov,2014-15,5.6,47.6,15.6,27.4,0.0,0.8,0.2,0.4,0.6,0.4,0.6,0.0,6.6,5.2,1.4,0.0,0.6,0.6,3.8,0.0,2.0,1.8,4.4,0.2,0,0.0,1
95,2014-11-23,Leicester,London Welsh,Kassam Stadium,Dean Richards,W,Sun,Nov,2014-15,15.6,27.4,5.6,47.6,0.2,0.4,0.0,0.8,0.6,0.6,3.8,0.0,2.0,1.8,4.4,0.2,0.6,0.4,0.6,0.0,6.6,5.2,1.4,0.0,1,0.0,0
93,2014-11-23,Northampton,Saracens,Allianz Park,Matthew Carley,W,Sun,Nov,2014-15,29.2,16.0,27.2,22.8,0.8,0.4,0.2,0.6,3.4,2.8,2.2,0.0,1.6,1.6,1.6,0.0,2.2,1.8,4.2,0.0,2.2,1.4,3.0,0.0,1,0.0,1
97,2014-11-28,Harlequins,Bath,The Recreation Ground,Wayne Barnes,L,Fri,Nov,2014-15,23.0,17.8,24.6,21.6,0.6,0.2,0.4,0.2,2.4,2.2,2.2,0.0,1.0,1.0,3.6,0.0,2.6,2.2,2.2,0.2,2.2,2.0,2.2,0.0,0,0.0,1
96,2014-11-28,Bath,Harlequins,The Recreation Ground,Wayne Barnes,W,Fri,Nov,2014-15,24.6,21.6,23.0,17.8,0.4,0.2,0.6,0.2,2.6,2.2,2.2,0.2,2.2,2.0,2.2,0.0,2.4,2.2,2.2,0.0,1.0,1.0,3.6,0.0,1,1.0,0
98,2014-11-29,Leicester,Wasps,Welford Road,Luke Pearce,W,Sat,Nov,2014-15,20.8,19.4,32.8,20.6,0.4,0.2,0.4,0.2,1.4,1.2,3.8,0.0,1.2,1.0,3.8,0.0,4.2,3.2,1.8,0.0,2.4,1.6,1.6,0.2,1,1.0,0
101,2014-11-29,Saracens,Exeter,Sandy Park,Greg Garner,L,Sat,Nov,2014-15,24.8,22.6,31.8,19.8,0.4,0.2,0.4,0.2,2.2,1.2,3.8,0.0,2.0,1.2,3.4,0.0,3.4,2.6,3.2,0.0,2.2,1.4,2.0,0.0,0,0.0,1
100,2014-11-29,Exeter,Saracens,Sandy Park,Greg Garner,W,Sat,Nov,2014-15,31.8,19.8,24.8,22.6,0.4,0.2,0.4,0.2,3.4,2.6,3.2,0.0,2.2,1.4,2.0,0.0,2.2,1.2,3.8,0.0,2.0,1.2,3.4,0.0,1,1.0,0
99,2014-11-29,Wasps,Leicester,Welford Road,Luke Pearce,L,Sat,Nov,2014-15,32.8,20.6,20.8,19.4,0.4,0.2,0.4,0.2,4.2,3.2,1.8,0.0,2.4,1.6,1.6,0.2,1.4,1.2,3.8,0.0,1.2,1.0,3.8,0.0,0,0.0,1
107,2014-11-30,Sale,Newcastle,Kingston Park,Dean Richards,W,Sun,Nov,2014-15,21.2,23.4,20.8,19.0,0.2,0.6,0.0,0.4,2.6,2.0,1.2,0.2,2.6,2.2,2.0,0.0,2.2,1.0,2.6,0.0,2.0,1.2,2.0,0.2,1,1.0,1
105,2014-11-30,Northampton,London Welsh,Kassam Stadium,Tim Wigglesworth,W,Sun,Nov,2014-15,28.4,18.8,5.0,43.6,0.6,0.6,0.0,0.8,3.2,2.6,2.4,0.0,2.0,1.4,2.0,0.0,0.6,0.4,0.4,0.0,6.2,4.8,1.0,0.0,1,1.0,0
102,2014-11-30,London Irish,Gloucester,Madejski Stadium,Matthew Carley,L,Sun,Nov,2014-15,17.8,30.2,25.0,19.2,0.2,0.6,0.6,0.0,1.4,1.2,2.8,0.0,3.0,2.8,3.2,0.0,2.4,2.0,3.0,0.0,1.8,1.2,2.6,0.0,0,0.0,0
103,2014-11-30,Gloucester,London Irish,Madejski Stadium,Matthew Carley,W,Sun,Nov,2014-15,25.0,19.2,17.8,30.2,0.6,0.0,0.2,0.6,2.4,2.0,3.0,0.0,1.8,1.2,2.6,0.0,1.4,1.2,2.8,0.0,3.0,2.8,3.2,0.0,1,0.0,0
104,2014-11-30,London Welsh,Northampton,Kassam Stadium,Tim Wigglesworth,L,Sun,Nov,2014-15,5.0,43.6,28.4,18.8,0.0,0.8,0.6,0.6,0.6,0.4,0.4,0.0,6.2,4.8,1.0,0.0,3.2,2.6,2.4,0.0,2.0,1.4,2.0,0.0,0,0.0,1
106,2014-11-30,Newcastle,Sale,Kingston Park,Dean Richards,L,Sun,Nov,2014-15,20.8,19.0,21.2,23.4,0.0,0.4,0.2,0.6,2.2,1.0,2.6,0.0,2.0,1.2,2.0,0.2,2.6,2.0,1.2,0.2,2.6,2.2,2.0,0.0,0,1.0,1
108,2014-12-19,Sale,Exeter,AJ Bell Stadium,Wayne Barnes,W,Fri,Dec,2014-15,21.0,18.0,30.0,21.0,0.2,0.6,0.4,0.2,2.4,1.8,1.6,0.2,2.0,1.6,1.6,0.0,2.8,2.0,4.0,0.0,2.2,1.4,2.4,0.0,1,1.0,1
109,2014-12-19,Exeter,Sale,AJ Bell Stadium,Wayne Barnes,L,Fri,Dec,2014-15,30.0,21.0,21.0,18.0,0.4,0.2,0.2,0.6,2.8,2.0,4.0,0.0,2.2,1.4,2.4,0.0,2.4,1.8,1.6,0.2,2.0,1.6,1.6,0.0,0,1.0,1
112,2014-12-20,Saracens,London Welsh,Allianz Park,Ian Tempest,W,Sat,Dec,2014-15,20.6,24.2,5.8,43.0,0.2,0.2,0.0,0.8,1.6,0.6,3.8,0.0,1.4,0.8,5.2,0.0,0.8,0.6,0.2,0.0,6.4,4.6,0.6,0.0,1,0.0,0
117,2014-12-20,Bath,Gloucester,Kingsholm,Greg Garner,W,Sat,Dec,2014-15,24.8,16.6,20.0,19.0,0.4,0.0,0.4,0.0,2.8,1.8,2.2,0.2,1.4,1.2,2.4,0.0,1.6,1.2,3.2,0.0,1.6,1.0,3.0,0.0,1,1.0,1
116,2014-12-20,Gloucester,Bath,Kingsholm,Greg Garner,L,Sat,Dec,2014-15,20.0,19.0,24.8,16.6,0.4,0.0,0.4,0.0,1.6,1.2,3.2,0.0,1.6,1.0,3.0,0.0,2.8,1.8,2.2,0.2,1.4,1.2,2.4,0.0,0,1.0,1
115,2014-12-20,Leicester,Northampton,Franklin's Gardens,JP Doyle,L,Sat,Dec,2014-15,20.6,18.2,30.8,16.8,0.2,0.4,0.6,0.4,1.2,1.0,4.2,0.0,1.2,1.0,3.4,0.0,3.8,2.6,2.2,0.0,1.8,1.2,1.8,0.0,0,1.0,1
110,2014-12-20,Harlequins,Newcastle,Twickenham Stoop,Matthew Carley,W,Sat,Dec,2014-15,21.6,15.6,19.8,15.6,0.6,0.4,0.2,0.2,2.2,2.0,2.2,0.0,1.2,0.6,2.8,0.0,2.0,1.0,2.6,0.0,1.6,0.8,1.8,0.2,1,0.0,0
113,2014-12-20,London Welsh,Saracens,Allianz Park,Ian Tempest,L,Sat,Dec,2014-15,5.8,43.0,20.6,24.2,0.0,0.8,0.2,0.2,0.8,0.6,0.2,0.0,6.4,4.6,0.6,0.0,1.6,0.6,3.8,0.0,1.4,0.8,5.2,0.0,0,0.0,0
111,2014-12-20,Newcastle,Harlequins,Twickenham Stoop,Matthew Carley,L,Sat,Dec,2014-15,19.8,15.6,21.6,15.6,0.2,0.2,0.6,0.4,2.0,1.0,2.6,0.0,1.6,0.8,1.8,0.2,2.2,2.0,2.2,0.0,1.2,0.6,2.8,0.0,0,0.0,0
114,2014-12-20,Northampton,Leicester,Franklin's Gardens,JP Doyle,W,Sat,Dec,2014-15,30.8,16.8,20.6,18.2,0.6,0.4,0.2,0.4,3.8,2.6,2.2,0.0,1.8,1.2,1.8,0.0,1.2,1.0,4.2,0.0,1.2,1.0,3.4,0.0,1,1.0,1
118,2014-12-21,Wasps,London Irish,Ricoh Arena,Thomas Foley,W,Sun,Dec,2014-15,29.0,20.6,15.2,30.6,0.4,0.2,0.2,0.4,3.6,2.8,1.8,0.0,2.0,1.4,2.4,0.2,1.2,1.0,2.4,0.0,3.2,2.8,3.0,0.0,1,0.0,0
119,2014-12-21,London Irish,Wasps,Ricoh Arena,Thomas Foley,L,Sun,Dec,2014-15,15.2,30.6,29.0,20.6,0.2,0.4,0.4,0.2,1.2,1.0,2.4,0.0,3.2,2.8,3.0,0.0,3.6,2.8,1.8,0.0,2.0,1.4,2.4,0.2,0,0.0,0
120,2014-12-26,London Irish,London Welsh,Madejski Stadium,Greg Garner,W,Fri,Dec,2014-15,16.0,36.4,7.2,48.2,0.0,0.6,0.0,0.8,1.4,1.2,2.2,0.0,3.8,3.0,3.8,0.0,1.0,0.8,0.2,0.0,7.2,5.2,0.6,0.0,1,0.0,0
121,2014-12-26,London Welsh,London Irish,Madejski Stadium,Greg Garner,L,Fri,Dec,2014-15,7.2,48.2,16.0,36.4,0.0,0.8,0.0,0.6,1.0,0.8,0.2,0.0,7.2,5.2,0.6,0.0,1.4,1.2,2.2,0.0,3.8,3.0,3.8,0.0,0,0.0,0
122,2014-12-27,Bath,Exeter,The Recreation Ground,JP Doyle,W,Sat,Dec,2014-15,28.4,17.6,27.4,18.8,0.4,0.0,0.4,0.2,3.0,2.2,2.8,0.2,1.4,1.4,2.6,0.0,2.4,2.0,3.8,0.0,2.0,1.4,2.0,0.0,1,1.0,0
125,2014-12-27,Leicester,Sale,AJ Bell Stadium,Tim Wigglesworth,W,Sat,Dec,2014-15,21.2,16.2,19.6,17.4,0.4,0.4,0.2,0.8,1.6,1.2,3.6,0.0,1.2,0.6,3.0,0.0,2.2,1.6,1.8,0.0,1.8,1.2,2.0,0.0,1,0.0,1
123,2014-12-27,Exeter,Bath,The Recreation Ground,JP Doyle,L,Sat,Dec,2014-15,27.4,18.8,28.4,17.6,0.4,0.2,0.4,0.0,2.4,2.0,3.8,0.0,2.0,1.4,2.0,0.0,3.0,2.2,2.8,0.2,1.4,1.4,2.6,0.0,0,0.0,1
126,2014-12-27,Newcastle,Saracens,Kingston Park,Luke Pearce,L,Sat,Dec,2014-15,15.4,13.8,34.0,21.4,0.2,0.0,0.4,0.2,1.6,1.0,1.8,0.0,1.0,0.8,2.2,0.2,3.6,2.6,3.6,0.0,1.2,0.8,4.6,0.0,0,0.0,1
128,2014-12-27,Harlequins,Northampton,Twickenham Stadium,Wayne Barnes,L,Sat,Dec,2014-15,14.2,17.0,31.6,18.2,0.4,0.4,0.6,0.4,0.8,0.6,3.0,0.0,1.4,0.8,2.8,0.0,4.2,2.6,1.8,0.0,2.4,1.6,1.0,0.0,0,1.0,1
127,2014-12-27,Saracens,Newcastle,Kingston Park,Luke Pearce,W,Sat,Dec,2014-15,34.0,21.4,15.4,13.8,0.4,0.2,0.2,0.0,3.6,2.6,3.6,0.0,1.2,0.8,4.6,0.0,1.6,1.0,1.8,0.0,1.0,0.8,2.2,0.2,1,1.0,0
124,2014-12-27,Sale,Leicester,AJ Bell Stadium,Tim Wigglesworth,L,Sat,Dec,2014-15,19.6,17.4,21.2,16.2,0.2,0.8,0.4,0.4,2.2,1.6,1.8,0.0,1.8,1.2,2.0,0.0,1.6,1.2,3.6,0.0,1.2,0.6,3.0,0.0,0,1.0,0
129,2014-12-27,Northampton,Harlequins,Twickenham Stadium,Wayne Barnes,W,Sat,Dec,2014-15,31.6,18.2,14.2,17.0,0.6,0.4,0.4,0.4,4.2,2.6,1.8,0.0,2.4,1.6,1.0,0.0,0.8,0.6,3.0,0.0,1.4,0.8,2.8,0.0,1,1.0,1
130,2014-12-28,Gloucester,Wasps,Kingsholm,Dean Richards,L,Sun,Dec,2014-15,16.6,23.6,35.8,18.8,0.4,0.0,0.6,0.2,1.2,0.8,3.0,0.0,2.0,1.4,3.6,0.0,4.0,2.8,3.4,0.0,1.6,1.2,2.8,0.0,0,0.0,1
131,2014-12-28,Wasps,Gloucester,Kingsholm,Dean Richards,W,Sun,Dec,2014-15,35.8,18.8,16.6,23.6,0.6,0.2,0.4,0.0,4.0,2.8,3.4,0.0,1.6,1.2,2.8,0.0,1.2,0.8,3.0,0.0,2.0,1.4,3.6,0.0,1,1.0,0
133,2015-01-02,Newcastle,Northampton,Franklin's Gardens,Ian Tempest,L,Fri,Jan,2014-15,15.4,18.2,29.0,21.2,0.4,0.0,0.4,0.6,1.6,1.0,1.8,0.0,1.6,1.2,2.4,0.2,3.6,2.2,2.2,0.0,2.8,1.8,1.2,0.0,0,0.0,1
132,2015-01-02,Northampton,Newcastle,Franklin's Gardens,Ian Tempest,W,Fri,Jan,2014-15,29.0,21.2,15.4,18.2,0.4,0.6,0.4,0.0,3.6,2.2,2.2,0.0,2.8,1.8,1.2,0.0,1.6,1.0,1.8,0.0,1.6,1.2,2.4,0.2,1,1.0,0
137,2015-01-03,Gloucester,Exeter,Sandy Park,Andrew Small,W,Sat,Jan,2014-15,17.0,24.0,21.4,20.2,0.4,0.0,0.2,0.4,1.2,1.0,3.0,0.0,2.0,1.6,3.6,0.0,1.8,1.4,3.2,0.0,2.2,1.6,2.0,0.0,1,0.0,0
134,2015-01-03,Saracens,London Irish,Allianz Park,Tim Wigglesworth,W,Sat,Jan,2014-15,33.4,21.8,16.0,29.4,0.4,0.2,0.0,0.4,3.6,2.6,3.4,0.0,1.4,0.8,4.4,0.0,1.4,1.2,2.2,0.0,2.8,2.0,3.8,0.0,1,1.0,1
135,2015-01-03,London Irish,Saracens,Allianz Park,Tim Wigglesworth,L,Sat,Jan,2014-15,16.0,29.4,33.4,21.8,0.0,0.4,0.4,0.2,1.4,1.2,2.2,0.0,2.8,2.0,3.8,0.0,3.6,2.6,3.4,0.0,1.4,0.8,4.4,0.0,0,1.0,1
136,2015-01-03,Exeter,Gloucester,Sandy Park,Andrew Small,L,Sat,Jan,2014-15,21.4,20.2,17.0,24.0,0.2,0.4,0.4,0.0,1.8,1.4,3.2,0.0,2.2,1.6,2.0,0.0,1.2,1.0,3.0,0.0,2.0,1.6,3.6,0.0,0,0.0,0
138,2015-01-04,Leicester,Bath,Welford Road,Matthew Carley,W,Sun,Jan,2014-15,23.2,19.0,30.2,14.6,0.6,0.6,0.4,0.0,2.2,1.6,3.0,0.0,1.8,0.8,2.8,0.0,3.2,2.6,2.8,0.2,1.4,1.4,1.6,0.0,1,1.0,1
142,2015-01-04,London Welsh,Harlequins,Kassam Stadium,JP Doyle,L,Sun,Jan,2014-15,8.4,48.4,16.0,18.6,0.0,0.8,0.4,0.4,1.0,0.8,0.6,0.0,7.2,5.6,0.4,0.0,1.2,0.8,2.8,0.0,1.8,1.2,2.4,0.0,0,0.0,0
139,2015-01-04,Bath,Leicester,Welford Road,Matthew Carley,L,Sun,Jan,2014-15,30.2,14.6,23.2,19.0,0.4,0.0,0.6,0.6,3.2,2.6,2.8,0.2,1.4,1.4,1.6,0.0,2.2,1.6,3.0,0.0,1.8,0.8,2.8,0.0,0,1.0,1
141,2015-01-04,Sale,Wasps,Ricoh Arena,Greg Garner,L,Sun,Jan,2014-15,23.6,15.2,36.0,19.0,0.6,0.8,0.6,0.2,2.8,1.8,2.0,0.0,1.4,0.8,2.2,0.0,4.2,3.0,3.0,0.0,1.4,1.2,3.2,0.0,0,0.0,1
143,2015-01-04,Harlequins,London Welsh,Kassam Stadium,JP Doyle,W,Sun,Jan,2014-15,16.0,18.6,8.4,48.4,0.4,0.4,0.0,0.8,1.2,0.8,2.8,0.0,1.8,1.2,2.4,0.0,1.0,0.8,0.6,0.0,7.2,5.6,0.4,0.0,1,0.0,0
140,2015-01-04,Wasps,Sale,Ricoh Arena,Greg Garner,W,Sun,Jan,2014-15,36.0,19.0,23.6,15.2,0.6,0.2,0.6,0.8,4.2,3.0,3.0,0.0,1.4,1.2,3.2,0.0,2.8,1.8,2.0,0.0,1.4,0.8,2.2,0.0,1,1.0,0
